Name,Price,Size,Energi (kcal),Energi (kJ),Fett,Varav mättat fett,Kolhydrat,Varav sockerarter,Protein,Salt,Fiber,Varav polyoler,Fosfor,Vitamin B12,Vitamin D,Folsyra,Selen,Järn,Magnesium,Zink,Varav enkelomättat fett,Varav fleromättat fett,Fluorid,Vitamin B6,Natrium,Kalcium,Material,Kalium,Vitamin E,Pantotensyra,url
Dadlar Sweet Peach 125g Dave & Jon's,"29,90 kr","0.125kg 239,20 kr/kg",327 kcal,1368 kJ,3 g,1.8 g,66.7 g,53.7 g,2.2 g,0 g,10.8 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/dadlar-sweet-peach-125g-dave-jon-s/2105038
Sockerpåsar Tyrkisk Peber Super Salty 80g Fazer,"16,90 kr","0.08kg 211,25 kr/kg",325 kcal,1366 kJ,0.5 g,0 g,77 g,54 g,3.5 g,2.75 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/sockerp%C3%A5sar-tyrkisk-peber-super-salty-80g-fazer/2166472
Halstabletter Extra Starka Original Sockerfri 60g Karamellpojkarna,"15,90 kr","0.06kg 265,00 kr/kg",230 kcal,960 kJ,0 g,0 g,96 g,0 g,0 g,0 g,,96 g,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/halstabletter-extra-starka-original-sockerfri-60g-karamellpojkarna/1377122
Chokladkaka Mjölkchoklad Oreo 160g Marabou,"38,90 kr","0.16kg 243,13 kr/kg",517 kcal,2248 kJ,30 g,17 g,60 g,55 g,4.7 g,0.32 g,2.1 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chokladkaka-mj%C3%B6lkchoklad-oreo-160g-marabou/2166159
Sockerfritt Tuggummi Professional White 84g Extra,"56,00 kr","0.084kg 666,67 kr/kg",145 kcal,604 kJ,0 g,0 g,60 g,0 g,0 g,0.06 g,,60 g,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/sockerfritt-tuggummi-professional-white-84g-extra/1527742
Tuggummi Superberries 29g Extra,"24,90 kr","0.029kg 858,62 kr/kg",168 kcal,702 kJ,0 g,0 g,70 g,0 g,0 g,0 g,,70 g,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/tuggummi-superberries-29g-extra/2159029
Chips Hot Chili Cheddar 275g Olw,"39,90 kr","0.275kg 145,09 kr/kg",530 kcal,2200 kJ,33 g,2.7 g,47 g,2.2 g,7.1 g,1.4 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chips-hot-chili-cheddar-275g-olw/2116482
Dippmix Sweet chili 26g OLW,"13,90 kr","0.026kg 534,62 kr/kg",350 kcal,1500 kJ,1.2 g,0.2 g,82 g,49 g,2.9 g,9.1 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/dippmix-sweet-chili-26g-olw/1519603
Godis Soda Straws Zourr 90g Haribo,"22,90 kr","0.09kg 254,44 kr/kg",374 kcal,1586 kJ,3.5 g,2.3 g,83 g,61 g,1.1 g,0.26 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/godis-soda-straws-zourr-90g-haribo/2111840
Godispåse Tutti Frutti Sur Melon 90g Fazer,"16,90 kr","0.09kg 187,78 kr/kg",368 kcal,1552 kJ,0.5 g,0.5 g,91 g,63 g,0.5 g,0.29 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/godisp%C3%A5se-tutti-frutti-sur-melon-90g-fazer/2159040
Nötmix 180g ICA Gott Liv,"62,00 kr","0.18kg 344,44 kr/kg",675 kcal,2787 kJ,63 g,9.4 g,4.9 g,2.6 g,17 g,0.01 g,7 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/n%C3%B6tmix-180g-ica-gott-liv/1383730
Chokladask Finest selection Grön 250g Merci,"94,00 kr","0.25kg 376,00 kr/kg",568 kcal,2367 kJ,37.2 g,19.1 g,46.9 g,44.5 g,9.6 g,0.24 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chokladask-finest-selection-gr%C3%B6n-250g-merci/1454975
Potatischips Chips Vitlök/Gräddfil 275g OLW,"39,90 kr","0.275kg 145,09 kr/kg",520 kcal,2200 kJ,33 g,2.6 g,47 g,2.8 g,7.3 g,1.4 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/potatischips-chips-vitl%C3%B6k-gr%C3%A4ddfil-275g-olw/2165276
Godispåse Ferrari Sur Citron/Lime 120g Toms,"21,90 kr","0.12kg 182,50 kr/kg",364 kcal,1546 kJ,0.5 g,0.1 g,86 g,60 g,2.8 g,0.01 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/godisp%C3%A5se-ferrari-sur-citron-lime-120g-toms/2157952
Glass Sandwich 6-p ICA,"53,00 kr","6 per frp 8,83 kr/st",319 kcal,1342 kJ,12 g,9.2 g,47 g,24 g,5.1 g,0.24 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glass-sandwich-6-p-ica/2076117
Glass Sandwich original 6-p GB Glace,"61,00 kr","6 per frp 10,17 kr/st",187 kcal,785 kJ,7.3 g,6.7 g,27 g,16 g,3.1 g,0.29 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glass-sandwich-original-6-p-gb-glace/1330572
Chilinötter klassiska 150g OLW,"36,90 kr","0.15kg 246,00 kr/kg",527 kcal,2194 kJ,33 g,4 g,41 g,5.9 g,14 g,2.4 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chilin%C3%B6tter-klassiska-150g-olw/2051286
Noblesse Havssalt Crisp150g Marabou,"69,00 kr","0.15kg 460,00 kr/kg",558 kcal,2326 kJ,35 g,21 g,55 g,50 g,4.7 g,0.62 g,2.3 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/noblesse-havssalt-crisp150g-marabou/2039404
Tuggummi Extra Professional White Citrus 29g Extra,"20,90 kr","0.029kg 720,69 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/tuggummi-extra-professional-white-citrus-29g-extra/1383588
Pistaschnötter Salta 100g ICA,"38,90 kr","0.1kg 389,00 kr/kg",577 kcal,2391 kJ,45 g,5.6 g,17 g,7.7 g,21 g,1.2 g,10 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pistaschn%C3%B6tter-salta-100g-ica/1026233
Chokladpralin Lindor Bag Assorted 137g Lindt,"77,00 kr","0.137kg 562,04 kr/kg",640 kcal,2652 kJ,51 g,36 g,41 g,40 g,4.8 g,0.15 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chokladpralin-lindor-bag-assorted-137g-lindt/2079637
Glass Salted Caramel Brownie Peaces 160ml Ben & Jerrys,"72,00 kr","0.16L 450,00 kr/l",391 kcal,1635 kJ,25 g,9.3 g,36 g,31 g,4.4 g,0.28 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glass-salted-caramel-brownie-peaces-160ml-ben-jerrys/2143312
Chokladkaka EXCELLENCE Havssalt Mörk Choklad 100g Lindt,"55,00 kr","0.1kg 550,00 kr/kg",529 kcal,2205 kJ,32 g,20 g,50 g,48 g,6.2 g,0.31 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chokladkaka-excellence-havssalt-m%C3%B6rk-choklad-100g-lindt/1348653
Vår egna Nötmix med Bär 200g OLW,"44,90 kr","0.2kg 224,50 kr/kg",550 kcal,2350 kJ,39 g,7.4 g,30 g,19 g,20 g,0.8 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/v%C3%A5r-egna-n%C3%B6tmix-med-b%C3%A4r-200g-olw/1490330
Center Dubbel 50g Cloetta,"15,90 kr","0.05kg 318,00 kr/kg",481 kcal,2024 kJ,23 g,15 g,63 g,48 g,4.1 g,0.42 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/center-dubbel-50g-cloetta/1363634
Torrostade Jordnötter 200g OLW,"37,90 kr","0.2kg 189,50 kr/kg",595 kcal,2466 kJ,47 g,7 g,11 g,6 g,28 g,1.8 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/torrostade-jordn%C3%B6tter-200g-olw/1001943
Chokladkaka Kina Rispuffar 125g Fazer,"42,90 kr","0.125kg 343,20 kr/kg",525 kcal,2194 kJ,30 g,18 g,52 g,48 g,10 g,0.43 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chokladkaka-kina-rispuffar-125g-fazer/2075410
Tuggummi sockerfri Intence Mint 30g Stimorol,"22,90 kr","0.03kg 763,33 kr/kg",170 kcal,708 kJ,0.3 g,0.1 g,67 g,0.1 g,0.5 g,0.04 g,,66 g,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/tuggummi-sockerfri-intence-mint-30g-stimorol/2150717
Gammaldags gräddglass Mandelkrokant 1.75L Triumf Glass,"39,00 kr","1.75L 22,29 kr/l",200 kcal,850 kJ,9.4 g,6.1 g,26 g,26 g,2.9 g,0.18 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/gammaldags-gr%C3%A4ddglass-mandelkrokant-1-75l-triumf-glass/2101625
Mangoskivor Torkade 90g ICA,"42,90 kr","0.09kg 476,67 kr/kg",320 kcal,1354 kJ,0.7 g,0.7 g,70 g,62 g,2.5 g,0.2 g,12 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/mangoskivor-torkade-90g-ica/1374727
Vit Choklad Kitkat 4-finger 41.5g Nestle,"14,90 kr","0.0415kg 359,04 kr/kg",515 kcal,2156 kJ,25.9 g,14.6 g,62.9 g,47.3 g,6.8 g,0.24 g,0.8 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vit-choklad-kitkat-4-finger-41-5g-nestle/2128030
Chokladkaka Havssalt 160g Marabou,"38,90 kr","0.16kg 243,13 kr/kg",546 kcal,2280 kJ,32 g,19 g,59 g,58 g,4.6 g,0.6 g,2 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chokladkaka-havssalt-160g-marabou/2166160
Plopp 80g Cloetta,"24,90 kr","0.08kg 311,25 kr/kg",490 kcal,2061 kJ,24 g,15 g,62 g,51 g,4.4 g,0.39 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/plopp-80g-cloetta/1002458
Godis Winegums Duo 175g Treatville,"22,90 kr","0.175kg 130,86 kr/kg",334 kcal,1418 kJ,0.5 g,0.3 g,78 g,48 g,4.3 g,0.03 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/godis-winegums-duo-175g-treatville/2107869
Glasspinne Mini mumsbit Jordgubb choklad & mandel 12-p 420g ICA,"61,00 kr","12 per frp 5,08 kr/st",342 kcal,1427 kJ,21 g,14 g,35 g,34 g,3.7 g,0.27 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glasspinne-mini-mumsbit-jordgubb-choklad-mandel-12-p-420g-ica/1409340
Citronsorbet 500ml Triumf Glass,"24,90 kr","0.5L 49,80 kr/l",130 kcal,550 kJ,0.5 g,0.5 g,32 g,28 g,0.5 g,0.02 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/citronsorbet-500ml-triumf-glass/2109092
Dippmix Chili Cheese 24g Redhead,"14,90 kr","0.24kg 62,08 kr/kg",328 kcal,1371 kJ,5.7 g,3.3 g,59 g,29 g,9 g,16.7 g,1.5 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/dippmix-chili-cheese-24g-redhead/2165620
Tuggummi White Sweet mint 29g Extra,"22,90 kr","0.029kg 789,66 kr/kg",155 kcal,647 kJ,0 g,0 g,65 g,0 g,0 g,0.06 g,,65 g,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/tuggummi-white-sweet-mint-29g-extra/2024118
Gräddglass Churros 500ml Triumf Glass,"22,90 kr","0.5L 45,80 kr/l",220 kcal,950 kJ,12 g,7.5 g,26 g,22 g,3.2 g,0.2 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/gr%C3%A4ddglass-churros-500ml-triumf-glass/2130079
Glasspinne Gold Caramel 85ml Magnum,"34,90 kr",,325 kcal,1357 kJ,17 g,12 g,38 g,29 g,4.4 g,0.33 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glasspinne-gold-caramel-85ml-magnum/2077268
Potatischips Chips Brynt smör/Ramslök 275g Olw,"39,90 kr","0.275kg 145,09 kr/kg",520 kcal,2150 kJ,32 g,2.6 g,48 g,3.2 g,7.2 g,1.3 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/potatischips-chips-brynt-sm%C3%B6r-ramsl%C3%B6k-275g-olw/2138828
Dadlar färska 400g Klass 1 ICA I love eco,"61,00 kr","0.4kg 152,50 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/dadlar-f%C3%A4rska-400g-klass-1-ica-i-love-eco/2049004
Chokladkaka Mintkrokant 160g Marabou,"38,90 kr","0.16kg 243,13 kr/kg",544 kcal,2270 kJ,32 g,18 g,60 g,59 g,3.9 g,0.46 g,1.6 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chokladkaka-mintkrokant-160g-marabou/2166171
Chokladkaka Rocher Dark 90g Ferrero,"36,90 kr","0.09kg 410,00 kr/kg",599 kcal,2489 kJ,43.7 g,22.4 g,42.2 g,39.6 g,6.4 g,0.086 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chokladkaka-rocher-dark-90g-ferrero/2117692
Goldbären 80g Haribo,"13,90 kr","0.08kg 173,75 kr/kg",343 kcal,1459 kJ,0.5 g,0.1 g,77 g,46 g,6.9 g,0.07 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/goldb%C3%A4ren-80g-haribo/1368329
Potatischips Mozzarella & Balsamico 150g Gårdschips,"33,90 kr","0.15kg 226,00 kr/kg",502 kcal,2101 kJ,30 g,2.2 g,47.2 g,2.8 g,8.4 g,1.3 g,5.8 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/potatischips-mozzarella-balsamico-150g-g%C3%A5rdschips/2105046
Potatischips Brynt Smör & Dill 150g Gårdschips,"32,90 kr","0.15kg 219,33 kr/kg",503 kcal,2105 kJ,30 g,2.3 g,47.4 g,3.1 g,8.3 g,1.2 g,5.9 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/potatischips-brynt-sm%C3%B6r-dill-150g-g%C3%A5rdschips/2074312
Torkad Persika 200g Sunshine Delights,"60,00 kr","0.2kg 300,00 kr/kg",332 kcal,1408 kJ,0 g,0 g,81 g,77 g,0.6 g,0.06 g,2.6 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/torkad-persika-200g-sunshine-delights/2125895
Chips Raspberry Sour LTD 150g Gårdschips,"32,90 kr","0.15kg 219,33 kr/kg",499 kcal,2087 kJ,29 g,1.8 g,48 g,3.8 g,7.8 g,1.2 g,5.8 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chips-raspberry-sour-ltd-150g-g%C3%A5rdschips/2149798
Mjölkchoklad 180g Tony's Chocolonely,"67,00 kr","0.18kg 372,22 kr/kg",545 kcal,2280 kJ,33 g,20 g,52 g,51 g,7.7 g,0.21 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/mj%C3%B6lkchoklad-180g-tony-s-chocolonely/2096160
Chips Chipotle Black pepper 150g Johnnys,"40,90 kr","0.15kg 272,67 kr/kg",480 kcal,2000 kJ,26 g,2.6 g,55 g,1.1 g,8.5 g,2.2 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chips-chipotle-black-pepper-150g-johnnys/2149668
Marshmallows 300g Treatville,"30,90 kr","0.3kg 103,00 kr/kg",320 kcal,1350 kJ,0 g,0 g,75 g,62 g,5.5 g,0.03 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/marshmallows-300g-treatville/2044068
Daim Dubbel 56g Marabou,"17,90 kr","0.056kg 319,64 kr/kg",545 kcal,2275 kJ,32 g,17 g,61 g,61 g,2.9 g,0.86 g,1.2 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/daim-dubbel-56g-marabou/1004570
Chokladkaka Mörk Hasselnöt 100g Ritter,"35,90 kr","0.1kg 359,00 kr/kg",577 kcal,2395 kJ,41 g,16 g,39 g,37 g,8.4 g,0.01 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chokladkaka-m%C3%B6rk-hasseln%C3%B6t-100g-ritter/2084382
Bananglass Oh My Banoffee Pie 257ml Ben & Jerrys,"80,00 kr","0.427L 187,35 kr/l",246 kcal,1032 kJ,13 g,7.8 g,29 g,24 g,2.6 g,0.27 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/bananglass-oh-my-banoffee-pie-257ml-ben-jerrys/2093693
Vannilla Pecan Blondie 465ml Ben & Jerrys,"80,00 kr","0.465L 172,04 kr/l",266 kcal,1115 kJ,16 g,8.9 g,27 g,25 g,4.1 g,0.35 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vannilla-pecan-blondie-465ml-ben-jerrys/2120567
Utopia Double Cherry Glasspinne 1-p Magnum,"34,90 kr",,299 kcal,1252 kJ,14 g,9.6 g,38 g,29 g,2.8 g,0.15 g,1.7 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/utopia-double-cherry-glasspinne-1-p-magnum/2154454
Dippmix Tortilla 28g Estrella,"14,90 kr","0.028kg 532,14 kr/kg",310 kcal,1290 kJ,3.4 g,0.6 g,57 g,22 g,7.8 g,10 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/dippmix-tortilla-28g-estrella/1004156
Vickningschips 275g Estrella,"40,90 kr","0.275kg 148,73 kr/kg",525 kcal,2187 kJ,34.5 g,2.7 g,45 g,0.5 g,5.6 g,1.3 g,5.3 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vickningschips-275g-estrella/1512426
Glass Favorites Rocky Road 825ml GB Glace,"47,90 kr","0.825L 58,06 kr/l",205 kcal,860 kJ,7.8 g,5.6 g,29 g,26 g,3.5 g,0.12 g,1.7 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glass-favorites-rocky-road-825ml-gb-glace/2130398
Torkad Passionsfrukt 100g DAVE & JON'S,"32,90 kr","0.1kg 329,00 kr/kg",303 kcal,1268 kJ,0.4 g,0.06 g,70.9 g,54.7 g,0.9 g,0.15 g,8 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/torkad-passionsfrukt-100g-dave-jon-s/2149664
Stjärnor Sourcream & Onion 85g Estrella,"25,90 kr","0.085kg 304,71 kr/kg",495 kcal,2073 kJ,25 g,2.2 g,63 g,3.2 g,3.9 g,2.1 g,1.9 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/stj%C3%A4rnor-sourcream-onion-85g-estrella/2074303
Müslibar BIG Coconut 50g Corny,"14,90 kr","0.05kg 298,00 kr/kg",474 kcal,1983 kJ,23 g,19 g,59 g,32 g,4.6 g,0.43 g,5.3 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/m%C3%BCslibar-big-coconut-50g-corny/1421356
Pinjenötter 60g ICA I love eco,"49,90 kr","0.06kg 831,67 kr/kg",713 kcal,2943 kJ,68 g,4.9 g,9.4 g,3.6 g,14 g,0 g,3.7 g,,,,,,,,251 mg,,,,,,,,,,9.3 mg,575 mg,https://handlaprivatkund.ica.se/stores/1004181/products/pinjen%C3%B6tter-60g-ica-i-love-eco/2034854
Chokladkaka Choco 50g Tony´scho,"22,90 kr","0.05kg 458,00 kr/kg",545 kcal,2280 kJ,33 g,20 g,52 g,51 g,7.7 g,0.21 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chokladkaka-choco-50g-tony-scho/2096163
Chokladkaka Premium 70% kakao Sea salt pecan 100g Marabou,"51,00 kr","0.1kg 510,00 kr/kg",595 kcal,2465 kJ,46 g,26 g,34 g,30 g,6.9 g,0.4 g,10 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chokladkaka-premium-70-kakao-sea-salt-pecan-100g-marabou/1402375
Glass Dumlestrut 1-p Fazer,"38,90 kr",,308 kcal,1291 kJ,16 g,11 g,38 g,27 g,3.1 g,0.33 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glass-dumlestrut-1-p-fazer/2014829
Godispåse Djungelvrål Saltlakrits 90g Malaco,"16,90 kr","0.09kg 187,78 kr/kg",349 kcal,1480 kJ,0.1 g,0 g,87 g,48 g,0.4 g,0.18 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/godisp%C3%A5se-djungelvr%C3%A5l-saltlakrits-90g-malaco/2127768
Kokosdröm 29g Pingvin,"7,90 kr","0.029kg 272,41 kr/kg",387 kcal,1619 kJ,4.8 g,4.4 g,83 g,70 g,0.9 g,0.27 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kokosdr%C3%B6m-29g-pingvin/1426152
Chokladpralin Mörk Choklad 60% 137g Lindt,"77,00 kr","0.137kg 562,04 kr/kg",637 kcal,2639 kJ,52 g,39 g,34 g,32 g,5 g,0.05 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chokladpralin-m%C3%B6rk-choklad-60-137g-lindt/1448890
Dumle Original 200g Fazer,"43,90 kr","0.2kg 219,50 kr/kg",475 kcal,1988 kJ,22 g,15 g,67 g,53 g,3.2 g,0.3 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/dumle-original-200g-fazer/2117800
Majsskruvar Choklad 100g Redhead,"32,90 kr","0.1kg 329,00 kr/kg",539 kcal,2262 kJ,32.7 g,23.8 g,57.7 g,39.5 g,3.8 g,1.6 g,0 g,,,,,,,,,,0 g,0 g,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/majsskruvar-choklad-100g-redhead/2166573
Glasstrut Tip Top 150ml Heartbrand,"33,90 kr",,348 kcal,1457 kJ,23 g,14 g,34 g,24 g,3.5 g,0.21 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glasstrut-tip-top-150ml-heartbrand/2054706
Glass Favorites Vanilla 900ml GB Glace,"40,90 kr","0.9L 45,44 kr/l",188 kcal,789 kJ,7.5 g,6.7 g,27 g,22 g,2.6 g,0.14 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glass-favorites-vanilla-900ml-gb-glace/2130394
Sötmandel 200g ICA,"41,90 kr","0.2kg 209,50 kr/kg",592 kcal,2478 kJ,53 g,4.4 g,6.2 g,6.2 g,21 g,0 g,19 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/s%C3%B6tmandel-200g-ica/2002105
Dadlar Chokladboll 125g Dave & Jon's,"29,90 kr","0.125kg 239,20 kr/kg",409 kcal,1714 kJ,16.4 g,12.2 g,58.9 g,43.5 g,3.1 g,0.2 g,7.1 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/dadlar-chokladboll-125g-dave-jon-s/2125901
Calippo Supermix 5-p GB Glace,"61,00 kr","5 per frp 12,20 kr/st",,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/calippo-supermix-5-p-gb-glace/2109026
Chokladask Finest selection Röd 250g Merci,"94,00 kr","0.25kg 376,00 kr/kg",563 kcal,2344 kJ,36.1 g,19.7 g,50 g,48.1 g,7.6 g,0.15 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chokladask-finest-selection-r%C3%B6d-250g-merci/1128772
Godis Gott & Blandat Salt 210g Malaco,"26,90 kr","0.21kg 128,10 kr/kg",344 kcal,1458 kJ,0.1 g,0 g,85 g,58 g,0.8 g,0.2 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/godis-gott-blandat-salt-210g-malaco/1297885
Halstablett Blue Active Strong sockerfri 72g Vicks,"27,90 kr","0.072kg 387,50 kr/kg",231 kcal,970 kJ,0 g,0 g,96 g,0 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/halstablett-blue-active-strong-sockerfri-72g-vicks/1528038
Valnötter 300g ICA Gott Liv,"78,00 kr","0.3kg 260,00 kr/kg",696 kcal,2875 kJ,67 g,6.9 g,3.2 g,2.3 g,16 g,0.05 g,6.4 g,,386 mg,,,,,,151 mg,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/valn%C3%B6tter-300g-ica-gott-liv/1383808
Kinder Maxi 6-p 126g Ferrero,"30,90 kr","0.126kg 245,24 kr/kg",566 kcal,2360 kJ,35 g,22.6 g,53.5 g,53.3 g,8.7 g,0.313 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kinder-maxi-6-p-126g-ferrero/1368647
Cashew Brynt Smör & Havssalt 140g Exotic Snacks,"62,00 kr","0.14kg 442,86 kr/kg",614 kcal,2571 kJ,47.6 g,8.1 g,26.7 g,6.7 g,18 g,0.5 g,3.3 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/cashew-brynt-sm%C3%B6r-havssalt-140g-exotic-snacks/2105117
Västkustchips Dill & Gräslök 180g Estrella,"35,90 kr","0.18kg 199,44 kr/kg",477 kcal,1991 kJ,26 g,2.1 g,52 g,1.6 g,6.3 g,1.1 g,5.9 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/v%C3%A4stkustchips-dill-gr%C3%A4sl%C3%B6k-180g-estrella/2116292
